Common name,Scientific name,Order,Family,95% Lower CI,Abundance estimate,95% Upper CI,Range adjusted,Training species
House Sparrow,Passer domesticus,Passeriformes,Passeridae (Old World Sparrows),691718494,1618744682,3795135209,TRUE,TRUE
European Starling,Sturnus vulgaris,Passeriformes,Sturnidae (Starlings),428117239,1288846040,3986525008,TRUE,TRUE
Ring-billed Gull,Larus delawarensis,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",22703666,1229072620,61036248728,TRUE,TRUE
Barn Swallow,Hirundo rustica,Passeriformes,Hirundinidae (Swallows),368223376,1076122004,3248000928,TRUE,TRUE
Glaucous Gull,Larus hyperboreus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",11030070,949879030,78302779623,TRUE,TRUE
Alder Flycatcher,Empidonax alnorum,Passeriformes,Tyrannidae (Tyrant Flycatchers),52035587,896919155,16407841925,TRUE,TRUE
Black-legged Kittiwake,Rissa tridactyla,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",15934990,815654031,44045847760,TRUE,TRUE
Horned Lark,Eremophila alpestris,Passeriformes,Alaudidae (Larks),114183681,770962832,4980210996,TRUE,TRUE
Sooty Tern,Onychoprion fuscatus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",8514234,711704137,55431870239,TRUE,FALSE
Savannah Sparrow,Passerculus sandwichensis,Passeriformes,Passerellidae (New World Sparrows),105545295,599661514,3327074417,TRUE,TRUE
American Robin,Turdus migratorius,Passeriformes,Turdidae (Thrushes and Allies),141360196,561290332,2187840521,TRUE,TRUE
Blue-gray Gnatcatcher,Polioptila caerulea,Passeriformes,Polioptilidae (Gnatcatchers),50969759,542518652,5789385556,FALSE,TRUE
Red-winged Blackbird,Agelaius phoeniceus,Passeriformes,Icteridae (Troupials and Allies),100159133,418284484,1739096158,TRUE,TRUE
Rook,Corvus frugilegus,Passeriformes,"Corvidae (Crows, Jays, and Magpies)",12075483,355015538,10440316620,TRUE,TRUE
Eurasian Blackbird,Turdus merula,Passeriformes,Turdidae (Thrushes and Allies),12798079,354433630,10411809875,TRUE,TRUE
White Wagtail,Motacilla alba,Passeriformes,Motacillidae (Wagtails and Pipits),9471018,353854467,12394539578,TRUE,TRUE
Common Wood-Pigeon,Columba palumbus,Columbiformes,Columbidae (Pigeons and Doves),13033917,334511213,9223836421,TRUE,TRUE
Golden-crowned Kinglet,Regulus satrapa,Passeriformes,Regulidae (Kinglets),33276184,303330127,2838871281,TRUE,TRUE
Swainson's Thrush,Catharus ustulatus,Passeriformes,Turdidae (Thrushes and Allies),28089824,301610196,3042019134,FALSE,TRUE
Rock Pigeon,Columba livia,Columbiformes,Columbidae (Pigeons and Doves),122250173,285765338,661240316,TRUE,TRUE
Dark-eyed Junco,Junco hyemalis,Passeriformes,Passerellidae (New World Sparrows),72199360,277840118,1121186709,TRUE,TRUE
Chipping Sparrow,Spizella passerina,Passeriformes,Passerellidae (New World Sparrows),65107575,274773823,1190390265,TRUE,TRUE
